"token","en-US","fr-FR","ja-JP","ko-KR","zh-CN"
"email_pwd_reset_text","A request to reset the password of your account has been emitted; please click on the button hereafter to proceed:",,,,
"email_pwd_reset_notice","This link will remain valid during the 24 hours following the request. Beyond that period, a new request must be emitted. ",,,,
"password_recovery_email_title","%{_EXTRA_FW/Realm/Name} password recovery",,,,
"regards","Best regards,",,,,
"global_datetime","{{val, datetime}}",,,,
"global_timeago","{{val, relativetime}}",,,,
"global_paging","Showing {{start, number}} to {{end, number}} of {{total}} results",,,,
"global_loading_text","Loading...",,,,
"vuelidate_validator_email","This field required a valid email.",,,,
"vuelidate_validator_required","This field is required.",,,,
"vuelidate_validator_req","This field is required.",,,,
"vuelidate_validator_sameAs","Boths fields must be identical.",,,,
"vuelidate_validator_minLength","Value is too short.",,,,
"vuelidate_validator_maxLength","Value is too long.",,,,
"cta_login_next","Next",,,,
"global_loading","Loading...",,,,
"paging_a_lot_of","a lot of",,,,
"confirm_modal_cta_cancel","Cancel",,,,
"confirm_modal_cta_confirm","Confirm",,,,
"klb_contact_form_label_email","Email","Email",,,
"klb_contact_form_place_holder_email","Email","Email",,,
"klb_contact_form_place_holder_fullname","Fullname","Nom complet",,,
"klb_contact_form_label_fullname","Fullname","Nom complet",,,
"klb_contact_form_label_subject","Subject","Sujet",,,
"klb_contact_form_place_holder_subject","Subject","Sujet",,,
"klb_contact_form_label_message","Message","Message",,,
"klb_contact_form_place_holder_message","Message","Message",,,
"klb_contact_cta","Send","Envoyer",,,
"error_access_denied","Access denied.",,,,
"klb_location_firstname_placeholder","Firstname",,,,
"klb_location_firstname_label","Firstname",,,,
"klb_location_lastname_placeholder","Lastname",,,,
"klb_location_lastname_label","Lastname",,,,
"klb_location_zip_placeholder","Zipcode",,,,
"klb_location_zip_label","Zipcode",,,,
"klb_location_country_label","Country",,,,
"klb_locations_save_cta","Save",,,,
"klb_locations_reset_cta","Cancel",,,,
"klb_location_new_cta","New",,,,
"klb_edit_location","Edit",,,,
"klb_delete_location","Delete",,,,
"klb_edit_billing_profile","Edit",,,,
"klb_billing_cancel_save_payment_method","Cancel",,,,
"klb_billing_payment_method_label","Credit Card",,,,
"klb_billing_save_payment_method","Save",,,,
"klb_billing_current_credit_card","Current:",,,,
"klb_billing_credit_card_edit_help",,,,,
"payment_method_billing","Credit Card",,,,
"payment_method_exp","Exp",,,,
"klb_add_new_billing_profile","New",,,,
"klb_billing_edit_pm_cta","Edit",,,,
"edit_pm_modal_title","Billing method",,,,
"edit_billing_method","Save billing method",,,,
"payment_remember_card","Remember card",,,,
"add_pm_label_placeholder","My principal payment method",,,,
"add_pm_label_label","Label",,,,
"add_pm_firstname_placeholder","Firstname",,,,
"add_pm_firstname_label","Firstname",,,,
"add_pm_lastname_placeholder","Lastname",,,,
"add_pm_lastname_label","Lastname",,,,
"add_pm_zip_placeholder","Zipcode",,,,
"add_pm_country_label","Country",,,,
"add_pm_zip_label","Zipcode",,,,
"payment_method_label","Credit Card Information",,,,
"klb_user_location_label","Location",,,,
"create_billing_profile","Save payment method",,,,
"edit_billing_method_cta","Save",,,,
"add_pm_modal_title","Billing method",,,,
"update_email_display_label","Email",,,,
"update_email_form_pwd_placeholder","Password",,,,
"update_email_form_pwd_label","Current password",,,,
"update_email_form_email_placeholder","New email",,,,
"update_email_form_email_label","New email",,,,
"update_email_cta","Confirm",,,,
"update_email_modal_title","Update your email",,,,
"update_email_display_cta","Update your email",,,,
"update_pwd_display_label","Update your password",,,,
"update_pwd_display_cta","Update your password",,,,
"update_pwd_modal_title","Update your password",,,,
"update_pwd_form_oldPwd_placeholder","Current password",,,,
"update_pwd_form_oldPwd_label","Current password",,,,
"update_pwd_form_newPwd_placeholder","New password",,,,
"update_pwd_form_newPwd_label","New password",,,,
"update_pwd_form_pwdConfirm_placeholder","Confirmation",,,,
"update_pwd_form_pwdConfirm_label","Confirm your new password",,,,
"update_pwd_cta","Confirmation",,,,
"billing_history_empty","Biling history is empty",,,,
"billing_history_headers_invoice_number","Invoice",,,,
"billing_history_headers_created","Created",,,,
"billing_history_headers_paid","Paid",,,,
"billing_history_headers_status","Status",,,,
"billing_history_headers_price","Amount",,,,
"billing_history_headers_actions","...",,,,
"billing_history_download_cta","Download PDF",,,,
"no_billing_history","No billing history",,,,
"payment_cycles_one_time","Once",,,,
"payment_cycles_hour_one","hour",,,,
"payment_cycles_hour_other","{{count}} hours",,,,
"payment_cycles_day_one","day",,,,
"payment_cycles_day_other","{{count}} days",,,,
"payment_cycles_month_one","month",,,,
"payment_cycles_month_other","{{count}} months",,,,
"payment_cycles_year_one","year",,,,
"payment_cycles_year_other","{{count}} years",,,,
"payment_cycles_week_one","week",,,,
"payment_cycles_week_other","{{count}} weeks",,,,
"read_more_cta","Read more",,,,
"confirm_modal_cta_cancel","Cancel",,,,
"confirm_modal_cta_confirm","Confirm",,,,
